FraseID,Algoritmo,Resultado
13,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4252, ""1"": 0.5748}}}"
14,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0424, ""1"": 0.9576}}}"
14,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4013, ""1"": 0.5987}}}"
15,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3671, ""1"": 0.6329}}}"
15,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4693, ""1"": 0.5307}}}"
16,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4982, ""1"": 0.5018}}}"
16,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4965, ""1"": 0.5035}}}"
17,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2389, ""1"": 0.7611}}}"
17,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.518, ""1"": 0.482}}}"
18,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4272, ""1"": 0.5728}}}"
18,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4348, ""1"": 0.5652}}}"
19,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3683, ""1"": 0.6317}}}"
19,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.404, ""1"": 0.596}}}"
20,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6922, ""1"": 0.3078}}}"
20,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4892, ""1"": 0.5108}}}"
21,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3206, ""1"": 0.6794}}}"
21,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3363, ""1"": 0.6637}}}"
22,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2765, ""1"": 0.7235}}}"
22,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4179, ""1"": 0.5821}}}"
23,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5449, ""1"": 0.4551}}}"
23,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5438, ""1"": 0.4562}}}"
24,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3051, ""1"": 0.6949}}}"
24,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4079, ""1"": 0.5921}}}"
25,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6646, ""1"": 0.3354}}}"
25,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4379, ""1"": 0.5621}}}"
26,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5162, ""1"": 0.4838}}}"
26,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3671, ""1"": 0.6329}}}"
27,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.731, ""1"": 0.269}}}"
27,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4632, ""1"": 0.5368}}}"
28,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.342, ""1"": 0.658}}}"
28,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3989, ""1"": 0.6011}}}"
29,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2189, ""1"": 0.7811}}}"
29,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.423, ""1"": 0.577}}}"
30,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6225, ""1"": 0.3775}}}"
30,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5108, ""1"": 0.4892}}}"
31,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2606, ""1"": 0.7394}}}"
31,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4333, ""1"": 0.5667}}}"
32,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2857, ""1"": 0.7143}}}"
32,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5223, ""1"": 0.4777}}}"
33,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3531, ""1"": 0.6469}}}"
33,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4673, ""1"": 0.5327}}}"
34,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.8148, ""1"": 0.1852}}}"
34,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5002, ""1"": 0.4998}}}"
35,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7609, ""1"": 0.2391}}}"
35,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5024, ""1"": 0.4976}}}"
36,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0914, ""1"": 0.9086}}}"
36,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2696, ""1"": 0.7304}}}"
37,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4554, ""1"": 0.5446}}}"
37,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3894, ""1"": 0.6106}}}"
38,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6039, ""1"": 0.3961}}}"
38,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5075, ""1"": 0.4925}}}"
39,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7512, ""1"": 0.2488}}}"
39,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5774, ""1"": 0.4226}}}"
40,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2272, ""1"": 0.7728}}}"
40,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3207, ""1"": 0.6793}}}"
41,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0076, ""1"": 0.9924}}}"
41,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2347, ""1"": 0.7653}}}"
42,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1432, ""1"": 0.8568}}}"
42,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.345, ""1"": 0.655}}}"
43,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0727, ""1"": 0.9273}}}"
43,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3877, ""1"": 0.6123}}}"
44,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6601, ""1"": 0.3399}}}"
44,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5609, ""1"": 0.4391}}}"
45,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3774, ""1"": 0.6226}}}"
45,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3699, ""1"": 0.6301}}}"
46,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.127, ""1"": 0.873}}}"
46,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.54, ""1"": 0.46}}}"
47,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5008, ""1"": 0.4993}}}"
47,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4878, ""1"": 0.5122}}}"
48,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6351, ""1"": 0.3649}}}"
48,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4978, ""1"": 0.5022}}}"
49,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4097, ""1"": 0.5903}}}"
49,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4104, ""1"": 0.5896}}}"
50,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6615, ""1"": 0.3385}}}"
50,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5775, ""1"": 0.4225}}}"
51,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3713, ""1"": 0.6287}}}"
51,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.242, ""1"": 0.758}}}"
52,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.982, ""1"": 0.018}}}"
52,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5033, ""1"": 0.4967}}}"
53,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2912, ""1"": 0.7088}}}"
53,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3556, ""1"": 0.6444}}}"
54,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6958, ""1"": 0.3042}}}"
54,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5947, ""1"": 0.4053}}}"
55,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1269, ""1"": 0.8731}}}"
55,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4358, ""1"": 0.5642}}}"
56,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4653, ""1"": 0.5347}}}"
56,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4208, ""1"": 0.5792}}}"
57,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5897, ""1"": 0.4103}}}"
57,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5676, ""1"": 0.4324}}}"
58,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6952, ""1"": 0.3048}}}"
58,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4328, ""1"": 0.5672}}}"
59,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0333, ""1"": 0.9667}}}"
59,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3651, ""1"": 0.6349}}}"
60,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4229, ""1"": 0.5771}}}"
60,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3832, ""1"": 0.6168}}}"
61,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3341, ""1"": 0.6659}}}"
61,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4673, ""1"": 0.5327}}}"
62,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5793, ""1"": 0.4207}}}"
62,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5185, ""1"": 0.4815}}}"
63,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0797, ""1"": 0.9203}}}"
63,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4784, ""1"": 0.5216}}}"
64,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1075, ""1"": 0.8925}}}"
64,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5525, ""1"": 0.4475}}}"
65,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.8116, ""1"": 0.1884}}}"
65,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5188, ""1"": 0.4812}}}"
66,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3035, ""1"": 0.6965}}}"
66,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4294, ""1"": 0.5706}}}"
67,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.715, ""1"": 0.285}}}"
67,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5938, ""1"": 0.4062}}}"
68,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4032, ""1"": 0.5968}}}"
68,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5123, ""1"": 0.4877}}}"
69,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1157, ""1"": 0.8843}}}"
69,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.39, ""1"": 0.61}}}"
70,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0221, ""1"": 0.9779}}}"
70,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.364, ""1"": 0.636}}}"
71,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6923, ""1"": 0.3077}}}"
71,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5618, ""1"": 0.4382}}}"
72,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6092, ""1"": 0.3908}}}"
72,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5669, ""1"": 0.4331}}}"
73,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4582, ""1"": 0.5418}}}"
73,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3437, ""1"": 0.6563}}}"
74,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1152, ""1"": 0.8848}}}"
74,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4804, ""1"": 0.5196}}}"
75,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7038, ""1"": 0.2962}}}"
75,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4999, ""1"": 0.5001}}}"
76,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5008, ""1"": 0.4993}}}"
76,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4878, ""1"": 0.5122}}}"
77,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5743, ""1"": 0.4257}}}"
77,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3883, ""1"": 0.6117}}}"
78,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.8315, ""1"": 0.1685}}}"
78,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6269, ""1"": 0.3731}}}"
79,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.8719, ""1"": 0.1281}}}"
79,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5581, ""1"": 0.4419}}}"
80,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4677, ""1"": 0.5323}}}"
80,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4744, ""1"": 0.5256}}}"
81,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6751, ""1"": 0.3249}}}"
81,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5379, ""1"": 0.4621}}}"
82,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.672, ""1"": 0.328}}}"
82,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5112, ""1"": 0.4888}}}"
83,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5481, ""1"": 0.4519}}}"
83,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5183, ""1"": 0.4817}}}"
84,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.8446, ""1"": 0.1554}}}"
84,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5865, ""1"": 0.4135}}}"
85,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.9035, ""1"": 0.0965}}}"
85,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3946, ""1"": 0.6054}}}"
86,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0787, ""1"": 0.9213}}}"
86,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3341, ""1"": 0.6659}}}"
87,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3672, ""1"": 0.6328}}}"
87,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3683, ""1"": 0.6317}}}"
88,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.264, ""1"": 0.736}}}"
88,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4193, ""1"": 0.5807}}}"
89,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1429, ""1"": 0.8571}}}"
89,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4264, ""1"": 0.5736}}}"
90,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4589, ""1"": 0.5411}}}"
90,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4857, ""1"": 0.5143}}}"
91,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1972, ""1"": 0.8028}}}"
91,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5108, ""1"": 0.4892}}}"
92,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7852, ""1"": 0.2148}}}"
92,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5168, ""1"": 0.4832}}}"
93,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3814, ""1"": 0.6186}}}"
93,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5283, ""1"": 0.4717}}}"
94,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1411, ""1"": 0.8589}}}"
94,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4474, ""1"": 0.5526}}}"
95,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0171, ""1"": 0.9829}}}"
95,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4848, ""1"": 0.5152}}}"
96,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5626, ""1"": 0.4374}}}"
96,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3974, ""1"": 0.6026}}}"
97,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7803, ""1"": 0.2197}}}"
97,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6092, ""1"": 0.3908}}}"
98,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3396, ""1"": 0.6604}}}"
98,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4878, ""1"": 0.5122}}}"
99,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.399, ""1"": 0.601}}}"
99,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4873, ""1"": 0.5127}}}"
100,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0806, ""1"": 0.9194}}}"
100,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.461, ""1"": 0.539}}}"
101,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4366, ""1"": 0.5634}}}"
101,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5499, ""1"": 0.4501}}}"
102,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.9168, ""1"": 0.0832}}}"
102,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.522, ""1"": 0.478}}}"
103,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2721, ""1"": 0.7279}}}"
103,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3903, ""1"": 0.6097}}}"
104,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3764, ""1"": 0.6236}}}"
104,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3828, ""1"": 0.6172}}}"
105,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0374, ""1"": 0.9626}}}"
105,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2447, ""1"": 0.7553}}}"
106,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2599, ""1"": 0.7401}}}"
106,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4797, ""1"": 0.5203}}}"
107,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5105, ""1"": 0.4895}}}"
107,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4376, ""1"": 0.5624}}}"
108,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3004, ""1"": 0.6996}}}"
108,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4862, ""1"": 0.5138}}}"
109,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5644, ""1"": 0.4356}}}"
109,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3913, ""1"": 0.6087}}}"
