FraseID,Algoritmo,Resultado
10,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0082, ""1"": 0.9918}}}"
10,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4326, ""1"": 0.5674}}}"
11,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3746, ""1"": 0.6254}}}"
11,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4173, ""1"": 0.5827}}}"
12,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4393, ""1"": 0.5607}}}"
12,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5201, ""1"": 0.4799}}}"
13,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6937, ""1"": 0.3063}}}"
13,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5254, ""1"": 0.4746}}}"
14,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.858, ""1"": 0.142}}}"
14,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6977, ""1"": 0.3023}}}"
15,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0704, ""1"": 0.9296}}}"
15,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3656, ""1"": 0.6344}}}"
16,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4801, ""1"": 0.5199}}}"
16,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4929, ""1"": 0.5071}}}"
17,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1123, ""1"": 0.8877}}}"
17,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4048, ""1"": 0.5952}}}"
18,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4653, ""1"": 0.5347}}}"
18,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4208, ""1"": 0.5792}}}"
19,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3556, ""1"": 0.6444}}}"
19,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3353, ""1"": 0.6647}}}"
20,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1535, ""1"": 0.8465}}}"
20,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3966, ""1"": 0.6034}}}"
21,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3125, ""1"": 0.6875}}}"
21,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.473, ""1"": 0.527}}}"
22,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.459, ""1"": 0.541}}}"
22,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4707, ""1"": 0.5293}}}"
23,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0729, ""1"": 0.9271}}}"
23,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3894, ""1"": 0.6106}}}"
24,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6462, ""1"": 0.3538}}}"
24,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5404, ""1"": 0.4596}}}"
25,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0891, ""1"": 0.9109}}}"
25,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3318, ""1"": 0.6682}}}"
26,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3322, ""1"": 0.6678}}}"
26,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4641, ""1"": 0.5359}}}"
27,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0767, ""1"": 0.9233}}}"
27,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3257, ""1"": 0.6743}}}"
28,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1704, ""1"": 0.8296}}}"
28,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5508, ""1"": 0.4492}}}"
29,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0725, ""1"": 0.9275}}}"
29,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4495, ""1"": 0.5505}}}"
30,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0238, ""1"": 0.9762}}}"
30,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4235, ""1"": 0.5765}}}"
31,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0645, ""1"": 0.9355}}}"
31,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4397, ""1"": 0.5603}}}"
32,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3096, ""1"": 0.6904}}}"
32,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5171, ""1"": 0.4829}}}"
33,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3242, ""1"": 0.6758}}}"
33,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4644, ""1"": 0.5356}}}"
34,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4798, ""1"": 0.5202}}}"
34,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.483, ""1"": 0.517}}}"
35,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0958, ""1"": 0.9042}}}"
35,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3981, ""1"": 0.6019}}}"
36,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4506, ""1"": 0.5494}}}"
36,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.408, ""1"": 0.592}}}"
37,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2251, ""1"": 0.7749}}}"
37,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4606, ""1"": 0.5394}}}"
38,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1067, ""1"": 0.8933}}}"
38,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4252, ""1"": 0.5748}}}"
39,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6074, ""1"": 0.3926}}}"
39,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4331, ""1"": 0.5669}}}"
40,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2484, ""1"": 0.7516}}}"
40,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.436, ""1"": 0.564}}}"
41,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5783, ""1"": 0.4217}}}"
41,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4902, ""1"": 0.5098}}}"
42,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.9668, ""1"": 0.0332}}}"
42,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4677, ""1"": 0.5323}}}"
43,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7434, ""1"": 0.2566}}}"
43,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5316, ""1"": 0.4684}}}"
44,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.8967, ""1"": 0.1033}}}"
44,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5363, ""1"": 0.4637}}}"
45,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7072, ""1"": 0.2928}}}"
45,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4926, ""1"": 0.5074}}}"
46,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.9134, ""1"": 0.0866}}}"
46,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6278, ""1"": 0.3722}}}"
47,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1838, ""1"": 0.8162}}}"
47,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.354, ""1"": 0.646}}}"
48,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0852, ""1"": 0.9148}}}"
48,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3704, ""1"": 0.6296}}}"
49,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.9248, ""1"": 0.0752}}}"
49,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6472, ""1"": 0.3528}}}"
50,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3087, ""1"": 0.6913}}}"
50,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5274, ""1"": 0.4726}}}"
51,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0863, ""1"": 0.9137}}}"
51,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3643, ""1"": 0.6357}}}"
52,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1303, ""1"": 0.8697}}}"
52,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5118, ""1"": 0.4882}}}"
53,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2147, ""1"": 0.7853}}}"
53,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4599, ""1"": 0.5401}}}"
54,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5739, ""1"": 0.4261}}}"
54,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3617, ""1"": 0.6383}}}"
55,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0786, ""1"": 0.9214}}}"
55,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3913, ""1"": 0.6087}}}"
56,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1458, ""1"": 0.8542}}}"
56,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4373, ""1"": 0.5627}}}"
57,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2251, ""1"": 0.7749}}}"
57,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4267, ""1"": 0.5733}}}"
58,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3562, ""1"": 0.6438}}}"
58,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4311, ""1"": 0.5689}}}"
59,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6496, ""1"": 0.3504}}}"
59,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4094, ""1"": 0.5906}}}"
60,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0181, ""1"": 0.9819}}}"
60,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3807, ""1"": 0.6193}}}"
61,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4687, ""1"": 0.5313}}}"
61,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4761, ""1"": 0.5239}}}"
62,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0193, ""1"": 0.9807}}}"
62,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4026, ""1"": 0.5974}}}"
63,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3561, ""1"": 0.6439}}}"
63,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5194, ""1"": 0.4806}}}"
64,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3544, ""1"": 0.6456}}}"
64,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5253, ""1"": 0.4747}}}"
65,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0562, ""1"": 0.9438}}}"
65,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3151, ""1"": 0.6849}}}"
66,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1454, ""1"": 0.8546}}}"
66,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6688, ""1"": 0.3312}}}"
67,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1706, ""1"": 0.8294}}}"
67,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4479, ""1"": 0.5521}}}"
68,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.614, ""1"": 0.386}}}"
68,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5198, ""1"": 0.4802}}}"
69,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6213, ""1"": 0.3787}}}"
69,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3696, ""1"": 0.6304}}}"
70,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0411, ""1"": 0.9589}}}"
70,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4342, ""1"": 0.5658}}}"
71,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6742, ""1"": 0.3258}}}"
71,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4405, ""1"": 0.5595}}}"
72,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7409, ""1"": 0.2591}}}"
72,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6486, ""1"": 0.3514}}}"
73,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.8216, ""1"": 0.1784}}}"
73,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5702, ""1"": 0.4298}}}"
74,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4452, ""1"": 0.5548}}}"
74,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3875, ""1"": 0.6125}}}"
75,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5154, ""1"": 0.4846}}}"
75,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6136, ""1"": 0.3864}}}"
76,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2678, ""1"": 0.7322}}}"
76,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.642, ""1"": 0.358}}}"
77,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.243, ""1"": 0.757}}}"
77,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4173, ""1"": 0.5827}}}"
78,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0859, ""1"": 0.9141}}}"
78,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3539, ""1"": 0.6461}}}"
79,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2185, ""1"": 0.7815}}}"
79,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3932, ""1"": 0.6068}}}"
80,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2466, ""1"": 0.7534}}}"
80,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5262, ""1"": 0.4738}}}"
81,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2258, ""1"": 0.7742}}}"
81,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4022, ""1"": 0.5978}}}"
82,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2815, ""1"": 0.7185}}}"
82,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5023, ""1"": 0.4977}}}"
83,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7343, ""1"": 0.2657}}}"
83,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5302, ""1"": 0.4698}}}"
84,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4686, ""1"": 0.5314}}}"
84,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4121, ""1"": 0.5879}}}"
85,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2151, ""1"": 0.7849}}}"
85,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3095, ""1"": 0.6905}}}"
86,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1344, ""1"": 0.8656}}}"
86,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.414, ""1"": 0.586}}}"
87,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1501, ""1"": 0.8499}}}"
87,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6019, ""1"": 0.3981}}}"
88,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4189, ""1"": 0.5811}}}"
88,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.467, ""1"": 0.533}}}"
89,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0922, ""1"": 0.9078}}}"
89,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3625, ""1"": 0.6375}}}"
90,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1543, ""1"": 0.8457}}}"
90,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5152, ""1"": 0.4848}}}"
91,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1494, ""1"": 0.8506}}}"
91,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.444, ""1"": 0.556}}}"
92,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3396, ""1"": 0.6604}}}"
92,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4717, ""1"": 0.5283}}}"
93,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2884, ""1"": 0.7116}}}"
93,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4463, ""1"": 0.5537}}}"
94,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4707, ""1"": 0.5293}}}"
94,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4464, ""1"": 0.5536}}}"
95,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2657, ""1"": 0.7343}}}"
95,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4682, ""1"": 0.5318}}}"
96,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3573, ""1"": 0.6427}}}"
96,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5364, ""1"": 0.4636}}}"
97,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7047, ""1"": 0.2953}}}"
97,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5565, ""1"": 0.4435}}}"
98,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.0262, ""1"": 0.9738}}}"
98,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3625, ""1"": 0.6375}}}"
99,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.6884, ""1"": 0.3116}}}"
99,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.556, ""1"": 0.444}}}"
100,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2535, ""1"": 0.7465}}}"
100,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4856, ""1"": 0.5144}}}"
101,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.2565, ""1"": 0.7435}}}"
101,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.477, ""1"": 0.523}}}"
102,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5864, ""1"": 0.4136}}}"
102,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4906, ""1"": 0.5094}}}"
103,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.397, ""1"": 0.603}}}"
103,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5593, ""1"": 0.4407}}}"
104,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.507, ""1"": 0.493}}}"
104,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4914, ""1"": 0.5086}}}"
105,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.3058, ""1"": 0.6942}}}"
105,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5226, ""1"": 0.4774}}}"
106,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5934, ""1"": 0.4066}}}"
106,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4674, ""1"": 0.5326}}}"
107,NAIVE BAYES,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.7132, ""1"": 0.2868}}}"
107,SVM,"{""resultado"": {""etiqueta"": 0, ""probabilidades"": {""0"": 0.5512, ""1"": 0.4488}}}"
108,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1829, ""1"": 0.8171}}}"
108,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4739, ""1"": 0.5261}}}"
109,NAIVE BAYES,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.1729, ""1"": 0.8271}}}"
109,SVM,"{""resultado"": {""etiqueta"": 1, ""probabilidades"": {""0"": 0.4897, ""1"": 0.5103}}}"
